agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_ratio,elapsed_time_sec,end_id,initial_depth,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,max_depth,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,target_elapsed_ratio,target_time_sec,timed_out,turn
alpha_beta,0,,{},8,0.031661700922995806,0.0026139523833990097,early,8,alpha_beta_d5_b8,245,5,5,5,adaptive_disabled,False,5,0.13880633283406496,0.13880633283406496,20,5,0.09635246684774756,1184,2248,0.00020750006660819054,5,1577,0,12923,4.004058428108692e-05,seed0_early_t0,fixed,11346,0,0.028627411695197225,0.007752830628305674,10000,0,0.0,normal,2248,1.0,0.0058260830119252205,449.5,0,20→20,8,,tuning,20,0.13880633283406496,1.0,False,0
alpha_beta,0,,{},8,0.02015443821437657,0.0017219532746821642,middle,8,alpha_beta_d5_b8,201,5,5,5,adaptive_disabled,False,5,0.09058262500911951,0.09058262500911951,46,5,0.0634083014447242,719,9,4.958128556609154e-06,5,1014,0,8241,2.7667731046676636e-05,seed0_middle_t27,fixed,7146,0,0.021968063432723284,0.005132301244884729,11,0,0.0,caution,9,1.0,4.133302718400955e-05,209.5,0,63→46,8,,tuning,63,0.09058262500911951,1.0,False,27
alpha_beta,0,,{},8,0.03585455776192248,0.0032818608451634645,late,8,alpha_beta_d5_b8,344,5,5,5,adaptive_disabled,False,5,0.23925366601906717,0.23925366601906717,46,5,0.18592323106713593,2322,32,5.624955520033836e-06,5,2930,0,14805,1.7249025404453278e-05,seed0_late_t49,fixed,11772,0,0.03929620003327727,0.013908360851928592,159,0,0.0,normal,32,1.0,0.00010300008580088615,308.0,0,11→46,8,,tuning,11,0.23925366601906717,1.0,False,49
alpha_beta,0,,{},8,0.03587881778366864,0.0035001954529434443,few_legal,8,alpha_beta_d5_b8,351,5,5,5,adaptive_disabled,False,5,0.18635866604745388,0.18635866604745388,32,5,0.13557023042812943,1681,8,3.1660310924053192e-06,5,2235,0,14508,2.249889075756073e-05,seed0_few_legal_t1,fixed,12273,0,0.039593377616256475,0.011135434033349156,10,0,0.0,caution,8,1.0,3.395904786884785e-05,419.5,0,35→32,8,,tuning,35,0.18635866604745388,1.0,False,1
alpha_beta,0,,{},8,0.04993854556232691,0.006092821480706334,early_pruning,8,alpha_beta_d5_b8,298,5,5,5,adaptive_disabled,False,5,0.3197079999372363,0.3197079999372363,58,5,0.23849188070744276,1773,37,6.7909713834524155e-06,5,2273,0,12915,1.7042038962244987e-05,seed0_early_pruning_t17,fixed,10642,0,0.05667132278904319,0.024409963516518474,96,0,0.0,normal,37,1.0,0.00011099991388618946,369.5,0,28→58,8,,tuning,28,0.3197079999372363,1.0,False,17
alpha_beta,0,,{},8,0.038088916102424264,0.0032807502429932356,early,8,alpha_beta_d5_b8,322,5,5,5,adaptive_disabled,False,5,0.16322154202498496,0.16322154202498496,35,5,0.111685570795089,1407,2284,0.00021804217249155045,5,1910,0,15786,2.820882946252823e-05,seed1_early_t0,fixed,13876,0,0.03564825211651623,0.009707260178402066,10000,0,0.0,normal,2284,1.0,0.005934207933023572,708.5,1,4→35,8,,tuning,4,0.16322154202498496,1.0,False,0
alpha_beta,0,,{},8,0.035605575423687696,0.003345174714922905,middle,8,alpha_beta_d5_b8,366,5,5,5,adaptive_disabled,False,5,0.20075412490405142,0.20075412490405142,35,5,0.14931561215780675,1851,47,6.332993507385254e-06,5,2453,0,14873,1.5083001926541328e-05,seed1_middle_t120,fixed,12370,0,0.0391092870850116,0.012183642713353038,163,0,0.0,normal,47,1.0,0.0001241669524461031,1094.0647727272728,1,9→35,8,,tuning,9,0.20075412490405142,1.0,False,120
alpha_beta,0,,{},8,0.02595661347731948,0.002356738317757845,late,7,alpha_beta_d5_b8,279,5,5,5,adaptive_disabled,False,5,0.11702079209499061,0.11702079209499061,37,5,0.08143306337296963,978,7,2.500135451555252e-06,5,1389,0,10774,2.1458137780427933e-05,seed1_late_t236,fixed,9344,0,0.028460722183808684,0.00707375630736351,8,0,0.0,caution,7,1.0,2.929195761680603e-05,624.0,1,35→37,7,,tuning,35,0.11702079209499061,1.0,False,236
alpha_beta,0,,{},8,0.04832252813503146,0.004378597252070904,early_pruning,8,alpha_beta_d5_b8,504,5,5,5,adaptive_disabled,False,5,0.2363759169820696,0.2363759169820696,55,5,0.169339059619233,2061,37,5.707843229174614e-06,5,2808,0,20144,1.8709339201450348e-05,seed1_early_pruning_t75,fixed,17321,0,0.05289788614027202,0.014007554156705737,129,0,0.0,normal,37,1.0,0.00010699988342821598,664.0,1,2→55,8,,tuning,2,0.2363759169820696,1.0,False,75
pvs,0,,{},8,0.03970786789432168,0.0033535195980221033,early,8,pvs_d5_b8,359,5,5,5,adaptive_disabled,False,5,0.15303312498144805,0.15303312498144805,20,5,0.10064927767962217,1280,2248,0.00020862510427832603,5,1793,1258,16556,2.9749935492873192e-05,seed0_early_t0,fixed,14784,0,0.037470793817192316,0.00886751152575016,10000,21,0.016693163751987282,normal,2248,1.0,0.0058071669191122055,449.5,0,20→20,8,,tuning,20,0.15303312498144805,1.0,False,0
pvs,0,,{},8,0.02606668439693749,0.002197990892454982,middle,8,pvs_d5_b8,275,5,5,5,adaptive_disabled,False,5,0.09992787498049438,0.09992787498049438,46,5,0.0659301218111068,811,9,2.7080532163381577e-06,5,1181,805,10673,1.8583843484520912e-05,seed0_middle_t27,fixed,9416,0,0.02838796377182007,0.005554122384637594,11,5,0.006211180124223602,caution,9,1.0,3.437511622905731e-05,209.5,0,63→46,8,,tuning,63,0.09992787498049438,1.0,False,27
pvs,0,,{},8,0.025898596039041877,0.0023562773130834103,late,8,pvs_d5_b8,348,5,5,5,adaptive_disabled,False,5,0.13229074981063604,0.13229074981063604,46,5,0.09626811440102756,1317,32,5.125068128108978e-06,5,1788,1309,10856,1.6208738088607788e-05,seed0_late_t49,fixed,9052,0,0.028345216996967793,0.0075607094913721085,159,7,0.0053475935828877,normal,32,1.0,9.537511505186558e-05,308.0,0,11→46,8,,tuning,11,0.13229074981063604,1.0,False,49
pvs,0,,{},8,0.03496512002311647,0.0031978606712073088,few_legal,8,pvs_d5_b8,423,5,5,5,adaptive_disabled,False,5,0.13623687508516014,0.13623687508516014,32,5,0.08958734758198261,1228,8,2.416083589196205e-06,5,1779,1214,14557,2.0791776478290558e-05,seed0_few_legal_t1,fixed,12791,0,0.03835037723183632,0.008247858379036188,10,13,0.01070840197693575,caution,8,1.0,2.8084032237529755e-05,419.5,0,35→32,8,,tuning,35,0.13623687508516014,1.0,False,1
pvs,0,,{},8,0.03283275477588177,0.003037982154637575,early_pruning,8,pvs_d5_b8,397,5,5,5,adaptive_disabled,False,5,0.147567167179659,0.147567167179659,58,5,0.10265853232704103,1385,37,5.00003807246685e-06,5,1917,1364,13894,1.3667158782482147e-05,seed0_early_pruning_t17,fixed,11997,0,0.03597324504517019,0.008813389576971531,96,20,0.01466275659824047,normal,37,1.0,0.00010333303362131119,369.5,0,28→58,8,,tuning,28,0.147567167179659,1.0,False,17
pvs,0,,{},8,0.032999800285324454,0.0027355989441275597,early,8,pvs_d5_b8,308,5,5,5,adaptive_disabled,False,5,0.11824604193679988,0.11824604193679988,35,5,0.0750570388045162,1013,2284,0.00020412495359778404,5,1442,1004,13832,2.583279274404049e-05,seed1_early_t0,fixed,12398,0,0.030061334604397416,0.0070580856408923864,10000,8,0.00796812749003984,normal,2284,1.0,0.0058396251406520605,708.5,1,4→35,8,,tuning,4,0.11824604193679988,1.0,False,0
pvs,0,,{},8,0.03555528400465846,0.003391859121620655,middle,8,pvs_d5_b8,336,5,5,5,adaptive_disabled,False,5,0.1446314170025289,0.1446314170025289,35,5,0.09656473039649427,1098,47,8.665956556797028e-06,5,1566,1089,11518,1.6666948795318604e-05,seed1_middle_t120,fixed,9929,0,0.03907696972601116,0.008827716810628772,163,8,0.0073461891643709825,normal,47,1.0,0.00013666716404259205,1094.0647727272728,1,9→35,8,,tuning,9,0.1446314170025289,1.0,False,120
pvs,0,,{},8,0.02738153119571507,0.002515309490263462,late,7,pvs_d5_b8,341,5,5,5,adaptive_disabled,False,5,0.10911254095844924,0.10911254095844924,37,5,0.07267141412012279,827,7,3.2498501241207123e-06,5,1274,818,11416,2.1624146029353142e-05,seed1_late_t236,fixed,10110,0,0.03005679906345904,0.0063292037229985,8,8,0.009779951100244499,caution,7,1.0,3.0250055715441704e-05,624.0,1,35→37,7,,tuning,35,0.10911254095844924,1.0,False,236
pvs,0,,{},8,0.05403740704059601,0.004911537980660796,early_pruning,8,pvs_d5_b8,633,5,5,5,adaptive_disabled,False,5,0.22395862499251962,0.22395862499251962,55,5,0.15106386900879443,1897,37,5.00003807246685e-06,5,2741,1870,22490,1.4375196769833565e-05,seed1_early_pruning_t75,fixed,19760,0,0.05921272863633931,0.013566527282819152,129,26,0.013903743315508022,normal,37,1.0,9.612482972443104e-05,664.0,1,2→55,8,,tuning,2,0.22395862499251962,1.0,False,75
beam_negamax,23407,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.06392653635703027,0.004555633757263422,early,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.16543466597795486,0.16543466597795486,35,6,0.08518393617123365,1536,2248,0.00019749999046325684,6,2936,0,26343,3.083283081650734e-05,seed0_early_t0,fixed,0,0,0.06325881998054683,0.010928536066785455,10000,0,0.0,normal,2248,1.0,0.0058350409381091595,-379.5,0,1→35,8,,tuning,1,0.16543466597795486,1.0,False,0
beam_negamax,19864,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.054980241460725665,0.00409504515118897,middle,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.17552429204806685,0.17552429204806685,28,6,0.1047348640859127,1536,9,2.6668421924114227e-06,6,2936,0,22800,2.262531779706478e-05,seed0_middle_t27,fixed,0,0,0.05966110830195248,0.011071527609601617,11,0,0.0,caution,9,1.0,3.1499890610575676e-05,-209.5,0,63→28,8,,tuning,63,0.17552429204806685,1.0,False,27
beam_negamax,19298,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.05322517943568528,0.003980216104537249,late,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.17126533295959234,0.17126533295959234,46,6,0.10239756130613387,1536,32,4.334142431616783e-06,6,2936,0,22234,1.3873912394046783e-05,seed0_late_t49,fixed,0,0,0.05771036585792899,0.011051072739064693,159,0,0.0,normal,32,1.0,8.812500163912773e-05,-239.5,0,11→46,8,,tuning,11,0.17126533295959234,1.0,False,49
beam_negamax,21084,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.058893124340102077,0.004332172451540828,few_legal,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.16531945881433785,0.16531945881433785,63,6,0.09030519751831889,1536,8,2.1248124539852142e-06,6,2936,0,24020,1.770886592566967e-05,seed0_few_legal_t1,fixed,0,0,0.06381913623772562,0.011146416421979666,10,0,0.0,caution,8,1.0,2.887495793402195e-05,-379.5,0,35→63,8,,tuning,35,0.16531945881433785,1.0,False,1
beam_negamax,20310,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.057313231052830815,0.004223634721711278,early_pruning,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.1646627918817103,0.1646627918817103,63,6,0.09118441212922335,1536,37,7.250113412737846e-06,6,2936,0,23246,1.7582904547452927e-05,seed0_early_pruning_t17,fixed,0,0,0.06204963778145611,0.011290824972093105,96,0,0.0,normal,37,1.0,0.00011308398097753525,-308.0,0,28→63,8,,tuning,28,0.1646627918817103,1.0,False,17
beam_negamax,25080,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.06639000400900841,0.004605574067682028,early,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.1574624590575695,0.1574624590575695,35,6,0.07436216273345053,1536,2284,0.00021008402109146118,6,2936,0,28016,2.8542010113596916e-05,seed1_early_t0,fixed,0,0,0.0656932513229549,0.011281335959210992,10000,0,0.0,normal,2284,1.0,0.005887083010748029,-508.5,1,4→35,8,,tuning,4,0.1574624590575695,1.0,False,0
beam_negamax,25324,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.06655458780005574,0.004662315361201763,middle,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.17676283419132233,0.17676283419132233,35,6,0.09276528190821409,1536,47,6.041023880243301e-06,6,2936,0,28260,1.3835029676556587e-05,seed1_middle_t120,fixed,0,0,0.07168627041392028,0.012166572734713554,163,0,0.0,normal,47,1.0,0.00012483308091759682,-418.5,1,9→35,8,,tuning,9,0.17676283419132233,1.0,False,120
beam_negamax,22084,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.057383656268939376,0.004027383169159293,late,7,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.16853883280418813,0.16853883280418813,37,6,0.0960787651129067,1344,7,2.62516550719738e-06,6,2569,0,24653,2.0166626200079918e-05,seed1_late_t236,fixed,0,0,0.06191336177289486,0.010498331161215901,8,0,0.0,caution,7,1.0,2.5582965463399887e-05,-624.0,1,35→37,7,,tuning,35,0.16853883280418813,1.0,False,236
beam_negamax,26714,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.0690302075818181,0.004734027665108442,early_pruning,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.17982104211114347,0.17982104211114347,55,6,0.09306017402559519,1536,37,5.207955837249756e-06,6,2936,0,29650,1.4750286936759949e-05,seed1_early_pruning_t75,fixed,0,0,0.07425907300785184,0.012386669870465994,129,0,0.0,normal,37,1.0,9.516696445643902e-05,-1104.6831818181818,1,2→55,8,,tuning,2,0.17982104211114347,1.0,False,75
